u,v,key,osmid,highway,oneway,service,reversed,length,grade,grade_abs,slope_pct,walk_speed_kmh,walk_time_s,walk_time_min,elev_u,elev_v,elev_gain_m,elev_loss_m,lanes,maxspeed,name,ref,access,bridge,width,junction,tunnel
3920435106,3920435087,0,388857950,service,False,driveway,False,77.75823262605232,0.0,0.0,0.0,5.036742124615245,55.57752025574907,0.9262920042624845,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
245018006,245018004,0,25792391,tertiary,False,,False,154.2113937713616,0.0,0.0,0.0,5.036742124615245,110.22224363319184,1.8370373938865305,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
245018006,447885623,0,25792391,tertiary,False,,True,107.38571818813273,0.0,0.0,0.0,5.036742124615245,76.75369830588839,1.27922830509814,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
245018006,3920435221,0,26601426,residential,False,,False,59.8187541993006,0.0,0.0,0.0,5.036742124615245,42.75531877342887,0.7125886462238145,426.8715057373047,426.8715057373047,0.0,0.0,,,Via Nilo Piccoli,,,,,,
3920435170,245018004,0,388857955,track,False,,False,125.85529243623822,0.0,0.0,0.0,5.036742124615245,89.95478457318642,1.4992464095531068,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
447885623,245018006,0,25792391,tertiary,False,,False,107.38571818813273,0.0,0.0,0.0,5.036742124615245,76.75369830588839,1.27922830509814,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
447885623,3920435226,0,25792391,tertiary,False,,True,73.09830460970642,0.0,0.0,0.0,5.036742124615245,52.24684728425428,0.8707807880709046,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
447885623,3920435149,0,388857952,service,False,driveway,False,56.85755676481859,0.0,0.0,0.0,5.036742124615245,40.63880962914752,0.6773134938191253,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
3920435221,11133668836,0,26601426,residential,False,,False,316.20831547913696,0.0,0.0,0.0,5.036742124615245,226.0091756855333,3.7668195947588883,426.8715057373047,426.8715057373047,0.0,0.0,,,Via Nilo Piccoli,,,,,,
3920435221,245018006,0,26601426,residential,False,,True,59.8187541993006,0.0,0.0,0.0,5.036742124615245,42.75531877342887,0.7125886462238145,426.8715057373047,426.8715057373047,0.0,0.0,,,Via Nilo Piccoli,,,,,,
3920435221,3920435249,0,388857954,service,False,driveway,False,71.77540250110468,0.0,0.0,0.0,5.036742124615245,51.301306005162076,0.8550217667527013,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
245018010,3920435226,0,25792391,tertiary,False,,False,131.17791646266681,0.0,0.0,0.0,5.036742124615245,93.75911801354628,1.5626519668924381,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
245018010,5501458393,0,25792391,tertiary,False,,True,159.060239633834,0.0,0.0,0.0,5.036742124615245,113.68794520635586,1.8947990867725977,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
245018010,3920435234,0,388857949,service,False,driveway,False,40.8892049841828,0.0,0.0,0.0,5.036742124615245,29.22546644261696,0.48709110737694933,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
3920435226,447885623,0,25792391,tertiary,False,,False,73.09830460970642,0.0,0.0,0.0,5.036742124615245,52.24684728425428,0.8707807880709046,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
3920435226,245018010,0,25792391,tertiary,False,,True,131.17791646266681,0.0,0.0,0.0,5.036742124615245,93.75911801354628,1.5626519668924381,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
3920435226,3920435222,0,388857958,service,False,driveway,False,124.11869659990327,0.0,0.0,0.0,5.036742124615245,88.71355664129516,1.4785592773549192,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
