service_row,service_name,service_address,rank,score,poi_name,poi_address,latitude,longitude,poi_source
28,SCUOLA EQUIPARATA DELL'INFANZIA,"VIA PANTE', 1",4,76.96,Tschurtschenthaler Dell'Elmo Carlo - Ris. Dell'Elmo Saracini,Via Dallafior Don Tommaso 32,46.064337662954294,11.150809169979693,foursquare_povo.geojson
28,SCUOLA EQUIPARATA DELL'INFANZIA,"VIA PANTE', 1",5,75.37,Dipartimento di Ingegneria e Scienza dell'Informazione,Via Sommarive 9,46.066919004416974,11.150289004967364,foursquare_povo.geojson
29,SCUOLA PROVINCIALE DELL'INFANZIA,"VIA DELLA RESISTENZA, 48",1,76.96,Scuola Materna - Povo di Trento,Via Pantè 1,46.064745,11.151806,foursquare_povo.geojson
29,SCUOLA PROVINCIALE DELL'INFANZIA,"VIA DELLA RESISTENZA, 48",2,76.81,Bar di Ingegneria dell'Università degli Studi di Trento,Via Mesiano 77,46.06636727452834,11.140654413991328,foursquare_povo.geojson
29,SCUOLA PROVINCIALE DELL'INFANZIA,"VIA DELLA RESISTENZA, 48",3,75.44,Tschurtschenthaler Dell'Elmo Carlo - Ris. Dell'Elmo Saracini,Via Dallafior Don Tommaso 32,46.064337662954294,11.150809169979693,foursquare_povo.geojson
29,SCUOLA PROVINCIALE DELL'INFANZIA,"VIA DELLA RESISTENZA, 48",4,74.73,Dipartimento di Ingegneria e Scienza dell'Informazione,Via Sommarive 9,46.066919004416974,11.150289004967364,foursquare_povo.geojson
30,CENTRO SERVIZI ,VIA DELLA RESISTENZA 61/D,1,77.44,Centro Estetico,Via della Resistenza 25,46.066208,11.155608,commercio_e_servizi_di_prossimita.csv
30,CENTRO SERVIZI ,VIA DELLA RESISTENZA 61/D,2,73.38,Sala Multiuso 2 presso Centro civico,Via Don T. Dallafior 5,46.064937,11.153418,cultura_socialita_e_spazi_comuni.csv
31,CASA MELOGRANO,VIA DELLA RESISTENZA N. 61/D,1,88.75,Casa di Riposo Margherita Grazioli,"Via della Resistenza, S/N",46.065951943293754,11.157336881383971,foursquare_povo.geojson
33,FAMIGLIA COOPERATIVA POVO,PIAZZA MANCI -38123 POVO -TN-,1,100.0,Famiglia Cooperativa di Povo dal 1895,"Piazza Manci Giannantonio, 8",46.06632126559786,11.154434708861467,foursquare_povo.geojson
33,FAMIGLIA COOPERATIVA POVO,PIAZZA MANCI -38123 POVO -TN-,2,100.0,Famiglia Cooperativa,"Piazza Giannantonio Manci, 8",46.06627074915549,11.154486383744883,foursquare_povo.geojson
33,FAMIGLIA COOPERATIVA POVO,PIAZZA MANCI -38123 POVO -TN-,3,98.26,Famigla Cooperativa Povo,Piazza Manci,46.066217,11.154406,commercio_e_servizi_di_prossimita.csv
33,FAMIGLIA COOPERATIVA POVO,PIAZZA MANCI -38123 POVO -TN-,4,81.47,Famiglia Cooperativa Povo,"Via della Resistenza n. 79, 38123 Povo TN",46.069323,11.161291,commercio_e_servizi_di_prossimita.csv
33,FAMIGLIA COOPERATIVA POVO,PIAZZA MANCI -38123 POVO -TN-,5,79.13,Famiglia Cooperativa,"Via Sprè, 81",46.069375498930974,11.161206302080084,foursquare_povo.geojson
34,FAMIGLIA COOPERATIVA POVO -FILIALE DI SPRE',"Via della Resistenza n. 79, 38123 Povo TN",1,100.0,Famiglia Cooperativa Povo,"Via della Resistenza n. 79, 38123 Povo TN",46.069323,11.161291,commercio_e_servizi_di_prossimita.csv
34,FAMIGLIA COOPERATIVA POVO -FILIALE DI SPRE',"Via della Resistenza n. 79, 38123 Povo TN",2,90.14,Sapori di Gastronomia,Via della Resistenza,46.06623848182548,11.156135008597436,foursquare_povo.geojson
34,FAMIGLIA COOPERATIVA POVO -FILIALE DI SPRE',"Via della Resistenza n. 79, 38123 Povo TN",3,89.4,AB Cartocopisteria SNC di Ivan Andreolli e Ermann Bisesti,Via della Resistenza 4,46.06623848182548,11.156135008597436,foursquare_povo.geojson
34,FAMIGLIA COOPERATIVA POVO -FILIALE DI SPRE',"Via della Resistenza n. 79, 38123 Povo TN",4,86.82,Famiglia Cooperativa,"Via Sprè, 81",46.069375498930974,11.161206302080084,foursquare_povo.geojson
34,FAMIGLIA COOPERATIVA POVO -FILIALE DI SPRE',"Via della Resistenza n. 79, 38123 Povo TN",5,81.13,Famiglia Cooperativa,"Piazza Giannantonio Manci, 8",46.06627074915549,11.154486383744883,foursquare_povo.geojson
36,FARMACIA COMUNALE,"Povo, Piazza G. Manci, 5",1,100.0,Farmacia Comunale Povo,Piazza Giannantonio Manci 5,46.06634941371948,11.15410298500785,foursquare_povo.geojson
37,AB CARTOCOPISTERIA S.A.S.,"Povo Via della Resistenza,  4 ",1,100.0,AB Cartocopisteria,Via della Resistenza 48,46.066273,11.156069,commercio_e_servizi_di_prossimita.csv
37,AB CARTOCOPISTERIA S.A.S.,"Povo Via della Resistenza,  4 ",2,93.2,AB Cartocopisteria SNC di Ivan Andreolli e Ermann Bisesti,Via della Resistenza 4,46.06623848182548,11.156135008597436,foursquare_povo.geojson
37,AB CARTOCOPISTERIA S.A.S.,"Povo Via della Resistenza,  4 ",3,93.2,AB Cartocopisteria SNC Cartoleria e Copisteria,Via della Resistenza 4,46.066187964360154,11.156186682751121,foursquare_povo.geojson
37,AB CARTOCOPISTERIA S.A.S.,"Povo Via della Resistenza,  4 ",4,77.1,A&B Le Terrazze Del Sale' - Apartment And Breakfast,Via Alla Val n.61,46.060188483996434,11.152226082577041,foursquare_povo.geojson
37,AB CARTOCOPISTERIA S.A.S.,"Povo Via della Resistenza,  4 ",5,73.35,Caffè Osteria Canton,Via della Resistenza 21,46.066236815160984,11.155429882095595,foursquare_povo.geojson
39,Fontana in Piazza Manci,Povo - Piazza G.Manci,1,77.14,Piazza Manci,None,46.06602499605463,11.154492069816758,foursquare_povo.geojson
