cluster_v3,profilo_cluster_v3,profilo_pubblico,popolazione_rif,famiglie_rif,abitazioni_rif,dislivello_sezione_m,servizi_5_min,servizi_15_min,tempo_associazioni_min,tempo_cultura_min,tempo_ristorazione_min,tempo_attivita_economiche_min,tempo_fermata_min,passaggi_totali
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,0.519989013671875,0,0,73.41226243233805,67.38912985548068,67.18316399415382,63.814589889220606,22.688660796940432,56.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,13.406005859375,0,0,24.819070748702792,18.795938171845425,18.589972310518558,15.221398205585354,12.524205695678647,55.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,15.62701416015625,0,0,57.21930593774024,51.19617336088287,50.990207499555986,47.62163339462279,6.002520281825931,42.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,0.029998779296875,0,0,65.16945191824429,59.14631934138692,58.94035348006004,55.571779375126845,13.952666262329986,42.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,11.337005615234375,0,0,25.800556507185785,19.77742393032842,19.57145806900155,16.20288396406834,8.312932457814634,55.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,11.03900146484375,0,0,,,,,,
4,area_mista_di_transizione,Area mista e di transizione,54.0,0.0,1.0,,0,0,31.038934601678992,25.015802024821628,24.809836163494758,21.441262058561552,3.0743825302938332,55.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,7.977996826171875,0,2,20.842864134089805,19.3042637416711,17.658009117189028,11.062649799664173,0.0,36.0
1,nucleo_residenziale,Nucleo prevalentemente residenziale,0.0,0.0,1.0,3.300018310546875,2,26,14.648560454545638,13.109960062126932,11.463705437644856,1.8747483471151776,2.0703999250697724,36.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,1.769989013671875,1,3,16.026334416016415,17.545938950178577,15.899684325696501,6.310727235166822,1.5135712755592057,54.0
4,area_mista_di_transizione,Area mista e di transizione,0.0,0.0,1.0,0.05999755859375,0,0,47.06022825131666,41.03709567445929,40.83112981313242,37.46255570819922,3.2532683852683193,88.0
2,area_periferica_morfologicamente_svantaggiata,Area periferica o penalizzata dalla morfologia,0.0,0.0,3.0,,0,0,130.14357579885854,128.60497540643982,126.95872078195775,120.3633614644329,95.0553593247527,30.0
